page,name,categories,address
1,Zed's Restaurant,"Restaurants, Vegetarian Restaurants, American Restaurants","501 Canyon Ridge Dr, Austin, TX 78753"
1,Kawa Asian Kitchen,"Restaurants, Chinese Restaurants, Sushi Bars","2900 N Quinlan Park Rd, Austin, TX 78732"
1,Ztejas,"Restaurants, American Restaurants","9400 Arboretum Blvd, Austin, TX 78759"
1,Texas Roadhouse,"Restaurants, Barbecue Restaurants, American Restaurants","13435 N Highway 183 Ste 7, Austin, TX 78750"
1,Chisos Grill,"Restaurants, American Restaurants, Sandwich Shops","12921 Hill Country Blvd Suite S-100 Hill Country Galleria, Austin, TX 78738"
1,Crawfish Shack & Oyster Bar,"Restaurants, Seafood Restaurants, Bars","2013 Wells Branch Pkwy, Austin, TX 78728"
1,Zack's American Bistro,"Restaurants, Pizza, American Restaurants","5145 Ranch Road 620 N Bldg C, Austin, TX 78732"
1,Chili's Grill & Bar,"Restaurants, American Restaurants, Bars","9900 S Interstate 35 Ste Z, Austin, TX 78748"
1,Krazy Betty's,"Restaurants, American Restaurants","11600 Manchaca Rd, Austin, TX 78748"
1,Maggiano's Little Italy,"Restaurants, Italian Restaurants, Take Out Restaurants","10910 Domain Dr, Austin, TX 78758"
1,Jasper's Austin,"Restaurants, American Restaurants, Breakfast, Brunch & Lunch Restaurants","11506 Century Oaks Ter, Austin, TX 78758"
1,The Original Pancake House,"Restaurants, Breakfast, Brunch & Lunch Restaurants, Family Style Restaurants","1700 W Parmer Ln, Austin, TX 78727"
1,Mandola's Italian,"Restaurants, Italian Restaurants, Pizza","12815 Shops Pkwy, Austin, TX 78738"
1,Asti Trattoria,"Restaurants, Italian Restaurants, Pizza","408 E 43rd St Ste C, Austin, TX 78751"
1,Shu Shu's Asian Cuisine,"Restaurants, Take Out Restaurants, Chinese Restaurants","8303 Burnet Rd Ste 1, Austin, TX 78757"
1,La Traviata,"Restaurants, Italian Restaurants","314 Congress Ave, Austin, TX 78701"
1,Perla's Seafood,"Restaurants, Seafood Restaurants, Fish & Seafood Markets","1400 S Congress Ave, Austin, TX 78704"
1,Tacodeli,"Restaurants, Mexican Restaurants, Breakfast, Brunch & Lunch Restaurants","1500 Spyglass Dr Ste B, Austin, TX 78746"
1,Haiku Japanese Restaurant,"Restaurants, Japanese Restaurants, Family Style Restaurants","9600 S Interstate 35, Austin, TX 78748"
1,Austin Terrier Restaurant,"Restaurants, American Restaurants, Pizza","3435 Greystone Dr, Austin, TX 78731"
1,Truluck's Ocean's Finest Seafood and Crab,"Restaurants, Steak Houses, Seafood Restaurants","10225 Research Blvd Ste 4000, Austin, TX 78759"
1,Liberty Tavern Restaurant,"Restaurants, Family Style Restaurants","500 E 4th St, Austin, TX 78701"
1,Brick Oven Restaurant,"Restaurants, Family Style Restaurants, Pizza","9911 Brodie Ln, Austin, TX 78748"
1,Cho Sushi,"Restaurants, Sushi Bars, Japanese Restaurants","4300 N Quinlan Park Rd Ste 105, Austin, TX 78732"
1,Buenos Aires Cafe,"Restaurants, Coffee Shops, American Restaurants","13500 Galleria Cir, Austin, TX 78738"
1,Kobe Japanese Steakhouse & Sushi Bar,"Restaurants, Japanese Restaurants","13492 N Highway 183 Ste 380, Austin, TX 78750"
1,La Familia Restaurant,"Restaurants, Mexican Restaurants, Italian Restaurants","3601 W William Cannon Dr, Austin, TX 78749"
1,Rockin Tomato,"Restaurants, Pizza, Brew Pubs","3003 S Lamar Blvd, Austin, TX 78704"
1,Bartlett's,"Restaurants, American Restaurants, Family Style Restaurants","2408 W Anderson Ln, Austin, TX 78757"
1,Schlotzsky's,"Restaurants, Sandwich Shops, Bars","500 Canyon Ridge Dr, Austin, TX 78753"
2,Pei Wei,"Restaurants, Asian Restaurants, Chinese Restaurants","1000 E 41st St, Austin, TX 78751"
2,The Captain's Seafood & Oyster Bar,"Restaurants, Seafood Restaurants, American Restaurants","5700 N Interstate 35, Austin, TX 78751"
2,Julio's Restaurant,"Restaurants, Mexican Restaurants, American Restaurants","4230 Duval St, Austin, TX 78751"
2,El Faro Taco,"Restaurants, Mexican Restaurants, Buffet Restaurants","1779 Wells Branch Pkwy, Austin, TX 78728"
2,Mimi's Cafe,"Restaurants, American Restaurants, Breakfast, Brunch & Lunch Restaurants","12613 Galleria Cir, Austin, TX 78738"
2,Los Pinos Mexican Restaurant,"Restaurants, Mexican Restaurants, Take Out Restaurants","11715 Fm 2244 Rd, Austin, TX 78738"
2,Dr Wok,"Restaurants, Chinese Restaurants, Take Out Restaurants","13201 Pond Springs Rd Ste 103, Austin, TX 78729"
2,Roaring Fork Stonelake,"Restaurants, American Restaurants, Family Style Restaurants","10850 Stonelake Blvd, Austin, TX 78759"
2,Niki's Pizza,"Restaurants, Pizza, Italian Restaurants","1100 Center Ridge Dr Ste 320, Austin, TX 78753"
2,Restaurant,"Restaurants, Family Style Restaurants, Italian Restaurants","85 Rainey St, Austin, TX 78701"
2,Sushi Sake Japanese Cuisine,"Restaurants, Sushi Bars, Japanese Restaurants","9503 Research Blvd Ste 500, Austin, TX 78759"
2,French Quarter Grille,"Restaurants, Seafood Restaurants, French Restaurants","13000 N Interstate 35, Austin, TX 78753"
2,Enchiladas Y Mas,"Restaurants, Mexican Restaurants, American Restaurants","1911 W Anderson Ln, Austin, TX 78757"
2,24 Diner,"Restaurants, American Restaurants, Coffee Shops","600 N Lamar Blvd, Austin, TX 78703"
2,Freda's Seafood Grille,"Restaurants, Seafood Restaurants, American Restaurants","10903 Pecan Park Blvd, Austin, TX 78750"
2,Hoffbrau Steak,"Restaurants, Steak Houses, American Restaurants","613 W 6th St, Austin, TX 78701"
2,Nan King Restaurant,"Restaurants, American Restaurants, Bars","13450 N Highway 183, Austin, TX 78750"
2,The Steeping Room,"Restaurants, American Restaurants","11410 Century Oaks Ter, Austin, TX 78758"
2,Hoboken Pie,"Restaurants, Pizza, Italian Restaurants","718 Red River St, Austin, TX 78701"
2,Boulevard Bar & Grill,"Restaurants, American Restaurants, Bars","3616 Far West Blvd Ste 116, Austin, TX 78731"
2,North by Northwest Restaurant & Brewery,"Restaurants, American Restaurants, Bars","10010 N Capital Of Texas Hwy, Austin, TX 78759"
2,Mangieri's,"Restaurants, Pizza, Italian Restaurants","2133 Lohmans Crossing Rd, Austin, TX 78734"
2,Baby Acapulco Restaurant.,"Restaurants, American Restaurants, Bars","9505 Stonelake Blvd, Austin, TX 78759"
2,Hula Hut,"Restaurants, Mexican Restaurants, Bars","3825 Lake Austin Blvd, Austin, TX 78703"
2,China Cafe,"Restaurants, Chinese Restaurants, American Restaurants","3901 Spicewood Springs Rd, Austin, TX 78759"
2,Fujian Grand China Buffet,"Restaurants, Chinese Restaurants, Buffet Restaurants","8709 N Interstate 35, Austin, TX 78753"
2,The Frisco Shop,"Restaurants, American Restaurants, Hamburgers & Hot Dogs","6801 Burnet Rd, Austin, TX 78757"
2,Estancia Brazilian Steakhouse,"Restaurants, Brazilian Restaurants, Steak Houses","10000 Research Blvd, Austin, TX 78759"
2,Wholly Cow Burgers,"Restaurants, Hamburgers & Hot Dogs, American Restaurants","3010 S Lamar Blvd, Austin, TX 78704"
2,Mikado Ryotei,"Restaurants, Take Out Restaurants, Bar & Grills","9033 Research Blvd, Austin, TX 78758"
3,Ichiban,"Restaurants, Sushi Bars, Japanese Restaurants","7310 Burnet Rd, Austin, TX 78757"
3,Roaring Fork,"Restaurants, American Restaurants, Steak Houses","701 Congress Ave, Austin, TX 78701"
3,Hunan Lion,"Restaurants, Asian Restaurants, Chinese Restaurants","4006 S Lamar Blvd, Austin, TX 78704"
3,Galaxy Cafe,"Restaurants, American Restaurants, Coffee Shops","9911 Brodie Ln, Austin, TX 78748"
3,Thomas Buffet II,"Restaurants, Buffet Restaurants, American Restaurants","9710 N Lamar Blvd, Austin, TX 78753"
3,Tino's Greek Cafe,"Restaurants, Greek Restaurants, Mediterranean Restaurants","9901 Brodie Ln, Austin, TX 78748"
3,Foreign & Domestic Food & Drink,"Restaurants, American Restaurants, Family Style Restaurants","306 E 53rd St, Austin, TX 78751"
3,Nanami Sushi Bar,"Restaurants, Sushi Bars, Japanese Restaurants","9001 Brodie Ln Ste B1, Austin, TX 78748"
3,New Mandarin Chinese Restaurant,"Restaurants, Chinese Restaurants, Family Style Restaurants","212 E Oltorf St, Austin, TX 78704"
3,Restaurant,"Restaurants, American Restaurants, Family Style Restaurants","200 Lavaca St, Austin, TX 78701"
3,Stony's Pizza,"Restaurants, Pizza, Italian Restaurants","1109 E 5th St Ste 100, Austin, TX 78702"
3,Mandola's Italian,"Restaurants, Italian Restaurants, Delicatessens","4301 W William Cannon Dr, Austin, TX 78749"
3,Rita's Mexican Restaurant,"Restaurants, Mexican Restaurants, American Restaurants","1934 Rutland Dr Ste 100, Austin, TX 78758"
3,Pei Wei,"Restaurants, Asian Restaurants, Chinese Restaurants","4200 S Lamar Blvd, Austin, TX 78704"
3,Threadgill's World Headquarters Restaurant,"Restaurants, American Restaurants, Soul Food Restaurants","301 W Riverside Dr, Austin, TX 78704"
3,Andiamo Ristorante,"Restaurants, Italian Restaurants, Seafood Restaurants","2521 Rutland Dr, Austin, TX 78758"
3,Bob's Steak & Chop House - Austin Downtown,"Restaurants, Steak Houses, American Restaurants","301 Lavaca St, Austin, TX 78701"
3,Chili's Grill & Bar,"Restaurants, American Restaurants, Bars","12901 N Interstate 35, Austin, TX 78753"
3,Country Kitchen,"Restaurants, Home Cooking Restaurants, American Restaurants","3401 S Interstate 35, Austin, TX 78741"
3,Ruby's BBQ,"Restaurants, Barbecue Restaurants, American Restaurants","512 W 29th St, Austin, TX 78705"
3,Salvation Pizza,"Restaurants, Pizza, American Restaurants","624 W 34th St, Austin, TX 78705"
3,China Cafe,"Restaurants, Chinese Restaurants, American Restaurants","13729 N Highway 183, Austin, TX 78750"
3,Donn's #3 Texas BBQ,"Restaurants, Caterers, Barbecue Restaurants","7001 Oak Meadow Dr, Austin, TX 78736"
3,Fonda San Miguel Restaurant,"Restaurants, Mexican & Latin American Grocery Stores, Grocery Stores","2330 W North Loop Blvd, Austin, TX 78756"
3,Jack Allen's Kitchen,"Restaurants, American Restaurants, Home Cooking Restaurants","7720 W Highway 71, Austin, TX 78735"
3,Four Seasons Chinese Restaurant,"Restaurants, Chinese Restaurants, Asian Restaurants","14735 Bratton Ln Ste 255, Austin, TX 78728"
3,Kim Phung Restaurant,"Restaurants, Family Style Restaurants","10900 Lakeline Mall Dr, Austin, TX 78717"
3,Texas Roadhouse,"Restaurants, Barbecue Restaurants, American Restaurants","15415 N Interstate 35, Austin, TX 78728"
3,Curra's Grill,"Restaurants, Mexican Restaurants, Latin American Restaurants","614 E Oltorf St, Austin, TX 78704"
3,Together Restaurant,"Restaurants, American Restaurants, Family Style Restaurants","9200 N Lamar Blvd Ste 101, Austin, TX 78753"
4,Mesa Rosa I,"Restaurants, Latin American Restaurants, American Restaurants","10700 Anderson Mill Rd, Austin, TX 78750"
4,Short and Sweet,"Restaurants, Chinese Restaurants, Asian Restaurants","10901 N Lamar Blvd, Austin, TX 78753"
4,Mangieri's Pizza Cafe,"Restaurants, Pizza, Italian Restaurants","5900 W Slaughter Ln Ste 490, Austin, TX 78749"
4,Twin Lion Chinese Restaurant,"Restaurants, Chinese Restaurants, American Restaurants","4815 W Braker Ln Ste 510, Austin, TX 78759"
4,El Azteca Restaurant,"Restaurants, American Restaurants, Italian Restaurants","2600 E 7th St, Austin, TX 78702"
4,McCormick & Schmick's,"Restaurants, Seafood Restaurants, American Restaurants","11600 Century Oaks Ter, Austin, TX 78758"
4,Steak House Austin,"Restaurants, Steak Houses","506 E Saint Elmo Rd Ste A-2, Austin, TX 78745"
4,Rounders Pizzeria,"Restaurants, American Restaurants, Pizza","1203 W 6th St, Austin, TX 78703"
4,Applebee's,"Restaurants, American Restaurants, Take Out Restaurants","7522 S Interstate 35, Austin, TX 78745"
4,Truluck's Ocean's Finest Seafood and Crab,"Restaurants, Steak Houses, Seafood Restaurants","300 Colorado St, Austin, TX 78701"
4,III Forks,"Restaurants, Steak Houses","111 Lavaca St, Austin, TX 78701"
4,Wingstop,"Restaurants, Chicken Restaurants, Take Out Restaurants","1701 W Parmer Ln Ste 104, Austin, TX 78727"
4,Tony C's,"Restaurants, Pizza, Caterers","10526 W Parmer Ln Ste 509, Austin, TX 78717"
4,Egg Roll Express,"Restaurants, Chinese Restaurants, Take Out Restaurants","6301 W Parmer Ln Ste 202, Austin, TX 78729"
4,Chili's Grill & Bar,"Restaurants, American Restaurants, Bars","6619 N Interstate 35, Austin, TX 78752"
4,Paco's Tacos,"Restaurants, Mexican Restaurants, American Restaurants","1304 E 51st St, Austin, TX 78723"
4,Evangeline Cafe,"Restaurants, American Restaurants, Creole & Cajun Restaurants","8106 Brodie Ln Ste 110, Austin, TX 78745"
4,Pacific Star Restaurant & Oyster Bar,"Restaurants, Seafood Restaurants, American Restaurants","13507 N Highway 183, Austin, TX 78750"
4,Taqueria Los Jaliscienses,"Restaurants, Mexican Restaurants, Italian Restaurants","2113 Wells Branch Pkwy, Austin, TX 78728"
4,The Green Mesquite BBQ & More,"Restaurants, Barbecue Restaurants, Take Out Restaurants","1400 Barton Springs Rd, Austin, TX 78704"
4,888 Vietnamese Restaurant,"Restaurants, Vietnamese Restaurants, Family Style Restaurants","2400 E Oltorf St Ste 1A, Austin, TX 78741"
4,Plate by Dzintra,"Restaurants, American Restaurants, French Restaurants","12823 Shops Pkwy Shops At The Galleria, Austin, TX 78738"
4,Home Slice Pizza,"Restaurants, Pizza, Italian Restaurants","1415 S Congress Ave, Austin, TX 78704"
4,68 Degrees Kitchen-Classic Italian-Inspired Restaurant,"Restaurants, Italian Restaurants, Mediterranean Restaurants","2401 Lake Austin Blvd, Austin, TX 78703"
4,Gourdough's Big Fat Donuts,"Restaurants, American Restaurants","1503 S 1st St, Austin, TX 78704"
4,Kerbey Lane Cafe,"Restaurants, American Restaurants, Coffee Shops","3704 Kerbey Ln, Austin, TX 78731"
4,Quality Seafood Wholesale,"Restaurants, Seafood Restaurants, Fish & Seafood Markets","5621 Airport Blvd, Austin, TX 78751"
4,China Emperor Restaurant,"Restaurants, Family Style Restaurants","111 W William Cannon Dr, Austin, TX 78745"
4,Verde's Mexican Parrilla,"Restaurants, Mexican Restaurants, American Restaurants","16018 Hamilton Pool Rd, Austin, TX 78738"
4,Matt's El Rancho,"Restaurants, Mexican Restaurants, Mexican Goods","2613 S Lamar Blvd, Austin, TX 78704"
5,The Oasis,"Restaurants, Mexican Restaurants, Party & Event Planners","6550 Comanche Trl, Austin, TX 78732"
5,Flores Mexican Restaurant,"Restaurants, Mexican Restaurants, American Restaurants","8300 N Fm 620 Rd, Austin, TX 78726"
5,Maudie's Hacienda,"Restaurants, Mexican Restaurants, Delicatessens","9911 Brodie Ln, Austin, TX 78748"
5,Kona Grill,"Restaurants, American Restaurants, Sushi Bars","11410 Century Oaks Ter, Austin, TX 78758"
5,Wings 'N More,"Restaurants, Chicken Restaurants, Take Out Restaurants","1200 W Howard Ln, Austin, TX 78753"
5,Hoover's Cooking,"Restaurants, American Restaurants, Creole & Cajun Restaurants","2002 Manor Rd, Austin, TX 78722"
5,Kerbey Lane Cafe,"Restaurants, American Restaurants, Coffee Shops","3003 S Lamar Blvd, Austin, TX 78704"
5,Phils Ice House,"Restaurants, American Restaurants, Sandwich Shops","5620 Burnet Rd, Austin, TX 78756"
5,Pok-e-Jos Smokehouse,"Restaurants, American Restaurants, Barbecue Restaurants","9828 Great Hills Trl, Austin, TX 78759"
5,Kerbey Lane Cafe,"Restaurants, American Restaurants","3404 Kerbey Ln, Austin, TX 78703"
5,Pho Van,"Restaurants, Vietnamese Restaurants, Asian Restaurants","8557 Research Blvd, Austin, TX 78758"
5,Molcas Mexican Restaurant and Cantina,"Restaurants, Mexican Restaurants, Bars","8127 Mesa Dr, Austin, TX 78759"
5,Uchi Austin,"Restaurants, Fine Dining Restaurants, Japanese Restaurants","801 S Lamar Blvd, Austin, TX 78704"
5,Salty Sow,"Restaurants, American Restaurants, Brew Pubs","1917 Manor Rd, Austin, TX 78722"
5,Cheddar's Scratch Kitchen,"Restaurants, American Restaurants, Chicken Restaurants","13301 N Highway 183, Austin, TX 78750"
5,Titaya's Thai Cuisine,"Restaurants, Thai Restaurants, Asian Restaurants","5501 N Lamar Blvd, Austin, TX 78751"
5,Madam Mam's Noodles & Moore II,"Restaurants, American Restaurants","4514 W Gate Blvd, Austin, TX 78745"
5,Manna Korean Restaurant,"Restaurants, Korean Restaurants, Asian Restaurants","6808 N Lamar Blvd, Austin, TX 78752"
5,183 Grill Austin at Lake Creek,"Restaurants, American Restaurants","13729 N Highway 183 Ste 890, Austin, TX 78750"
5,Baby Acapulco,"Restaurants, American Restaurants, Bars","1628 Barton Springs Rd, Austin, TX 78704"
5,Kick Butt Coffee,"Restaurants, Coffee & Espresso Restaurants, Coffee Shops","5775 Airport Blvd, Austin, TX 78752"
5,Hill's Cafe,"Restaurants, Coffee Shops, American Restaurants","4700 S Congress Ave, Austin, TX 78745"
5,Buffet King,"Restaurants, Portrait Photographers, American Restaurants","5451 N Interstate 35, Austin, TX 78723"
5,Texican Cafe,"Restaurants, American Restaurants, Coffee Shops","11940 Manchaca Rd Ste 107, Austin, TX 78748"
5,Kerbey Lane Cafe,"Restaurants, American Restaurants, Coffee Shops","9801 Anderson Mill Rd, Austin, TX 78750"
5,Star Seeds Cafe,"Restaurants, American Restaurants, Pizza","3101 N Interstate 35, Austin, TX 78722"
5,Habana,"Restaurants, Latin American Restaurants, Caterers","2728 S Congress Ave, Austin, TX 78704"
5,Ho Ho Chinese BBQ,"Restaurants, Chinese Restaurants, Barbecue Restaurants","13000 N Interstate 35 Bldg 6, Austin, TX 78753"
5,Steiner Ranch Steakhouse,"Restaurants, Steak Houses, American Restaurants","5424 Steiner Ranch Blvd, Austin, TX 78732"
5,Baskin-Robbins,"Restaurants, Dessert Restaurants, Ice Cream & Frozen Desserts","9911 Brodie Ln Ste 850, Austin, TX 78748"
